metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,n_true,n_false,class_balance_ratio,median_overall,median_true,median_false,overall_pass_rate,doc_retrieved_pct,source_file,avg_pass_rate,label
bert_cos,0.85,0.006711409395973154,0.0,0.006711409395973154,0.00018833180413879713,0.19508400426713632,0.0,0.013486794063788433,0.8972158258321122,0.9902019596080783,0.12957096099853516,17,281,0.060498220640569395,0.6404599249362946,0.7662696242332458,0.6366986632347107,0.006711409395973154,0.05704697986577181,weaviateCoT1_300,0.006711409395973154,bert_cos | weaviateCoT1_300
bert_cos,0.85,0.0,0.0,0.0,0.0,0.05422802421176257,0.0,0.016358260206028232,0.5140531110680364,1.0,2.1457672119140625e-05,67,231,0.29004329004329005,0.6572098731994629,0.6572206020355225,0.6571991443634033,0.0,0.22483221476510068,weaviateNaive3_300,0.0,bert_cos | weaviateNaive3_300
overlap,0.83,0.06711409395973154,0.026845637583892617,0.040268456375838924,0.022107324926344804,0.18629192275210527,0.012997767943074848,0.05463046972346608,0.8896744804023916,0.8402319536092782,0.3457142857142857,41,257,0.15953307392996108,0.47619047619047616,0.7857142857142857,0.44,0.09395973154362416,0.13758389261744966,weaviateNaive1_300,0.09395973154362416,overlap | weaviateNaive1_300
bert_cos,0.83,0.04697986577181208,0.013422818791946308,0.03355704697986577,0.012701642856005724,0.15887896517958155,0.004892240582558688,0.03628573432274936,0.8947518268957009,0.8550289942011597,0.12620288133621216,41,257,0.15953307392996108,0.6829400062561035,0.7953117489814758,0.6691088676452637,0.06040268456375839,0.13758389261744966,weaviateNaive1_300,0.06040268456375839,bert_cos | weaviateNaive1_300
overlap,0.81,0.010067114093959731,0.0,0.010067114093959731,0.001332410504880685,0.07193800248114171,0.0,0.016358260206028232,0.5047166763584674,0.9650069986002799,0.0,67,231,0.29004329004329005,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.010067114093959731,0.22483221476510068,weaviateNaive3_300,0.010067114093959731,overlap | weaviateNaive3_300
bert_cos,0.8,0.003355704697986577,0.003355704697986577,0.0,7.829626191423189e-05,0.12647060401593763,0.0005525629684895207,0.020093242989819047,0.5806878306878307,1.0,0.0031825006008148193,28,270,0.1037037037037037,0.6065701246261597,0.6096147000789642,0.6064321994781494,0.006711409395973154,0.09395973154362416,weaviateCoT_3_300,0.006711409395973154,bert_cos | weaviateCoT_3_300
bert_cos,0.8,0.06711409395973154,0.013422818791946308,0.053691275167785234,0.021829252927568543,0.18826179112142885,0.004901111314843165,0.03622212692019778,0.8705426356589148,0.7194561087782444,0.15090003609657288,40,258,0.15503875968992248,0.6584690809249878,0.7965174615383148,0.6456174254417419,0.08053691275167785,0.1342281879194631,weaviateNaive1AI,0.08053691275167785,bert_cos | weaviateNaive1AI
overlap,0.77,0.03355704697986577,0.026845637583892617,0.006711409395973155,0.0039058877613307036,0.2351611511087866,0.013401150132432434,0.053052795927931114,0.9582373874816831,0.9830033993201359,0.42929292929292934,17,281,0.060498220640569395,0.4,0.8181818181818182,0.3888888888888889,0.06040268456375839,0.05704697986577181,weaviateCoT1_300,0.06040268456375839,overlap | weaviateCoT1_300
token_recall,0.77,0.016778523489932886,0.003355704697986577,0.013422818791946308,0.0016671617445974396,0.14848852501223142,0.0005525629684895207,0.020093242989819047,0.7468915343915344,0.9754049190161967,0.11666666666666659,28,270,0.1037037037037037,0.4079290558163797,0.5166666666666666,0.4,0.020134228187919462,0.09395973154362416,weaviateCoT_3_300,0.020134228187919462,token_recall | weaviateCoT_3_300
token_recall,0.77,0.11073825503355705,0.006711409395973154,0.1040268456375839,0.04636991899129145,0.24180304791336138,0.0016898140216572016,0.026263029503034416,0.9875676188668502,0.39632073585282945,0.46120689655172414,41,257,0.15953307392996108,0.45553359683794464,0.875,0.41379310344827586,0.1174496644295302,0.13758389261744966,weaviateNaive1_300,0.1174496644295302,token_recall | weaviateNaive1_300
overlap,0.76,0.0738255033557047,0.016778523489932886,0.05704697986577181,0.02522770837525687,0.19710998615360104,0.006771389339915619,0.04096479207971125,0.9333817829457365,0.732253549290142,0.3752525252525253,40,258,0.15503875968992248,0.4444444444444444,0.7752525252525253,0.4,0.09060402684563758,0.1342281879194631,weaviateNaive1AI,0.09060402684563758,overlap | weaviateNaive1AI
bert_cos,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.4178799203062429,0.5624065813678859,0.07367030562857335,0.19185203743072626,0.8561676082862524,0.0001999600079984003,0.13189691305160522,180,118,0.6555555555555556,0.7415458559989929,0.7960936725139618,0.6641967594623566,0.610738255033557,0.6040268456375839,AgentOpenAI_300,0.610738255033557,bert_cos | AgentOpenAI_300
token_recall,0.71,0.0436241610738255,0.016778523489932886,0.026845637583892617,0.014754111954373504,0.12199093027918156,0.006452827226176423,0.04291354505347503,0.5925243910318537,0.8768246350729854,0.041666666666666685,67,231,0.29004329004329005,0.4666666666666667,0.5,0.4583333333333333,0.06040268456375839,0.22483221476510068,weaviateNaive3_300,0.06040268456375839,token_recall | weaviateNaive3_300
token_recall,0.7,0.050335570469798654,0.006711409395973154,0.0436241610738255,0.007996584299608978,0.2584421438197847,0.0017811677663334968,0.02494741429659872,0.9965459493405904,0.8994201159768046,0.4885714285714286,17,281,0.060498220640569395,0.3495887191539365,0.8285714285714286,0.34,0.05704697986577181,0.05704697986577181,weaviateCoT1_300,0.05704697986577181,token_recall | weaviateCoT1_300
token_recall,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.49407433659623934,0.6373489855762361,0.01899428206023762,0.0970326087013973,0.9659604519774011,0.0001999600079984003,0.32883661573442713,180,118,0.6555555555555556,0.7564271588661833,0.8382737576285963,0.5094371418941692,0.610738255033557,0.6040268456375839,AgentOpenAI_300,0.610738255033557,token_recall | AgentOpenAI_300
overlap,0.67,0.016778523489932886,0.010067114093959731,0.006711409395973155,0.0016671617445974396,0.14848852501223142,0.0032637573398481036,0.030616564754159,0.6056216931216931,0.9876024795040992,0.036363636363636376,28,270,0.1037037037037037,0.36363636363636365,0.4,0.36363636363636365,0.026845637583892617,0.09395973154362416,weaviateCoT_3_300,0.026845637583892617,overlap | weaviateCoT_3_300
token_recall,0.66,0.09731543624161074,0.030201342281879196,0.06711409395973154,0.03803609055321444,0.22716488065515522,0.01524851501477303,0.05893943914319753,0.9559593023255814,0.6638672265546891,0.3278218081819305,40,258,0.15503875968992248,0.43050193050193053,0.7240143369175627,0.39619252873563215,0.12751677852348994,0.1342281879194631,weaviateNaive1AI,0.12751677852348994,token_recall | weaviateNaive1AI
overlap,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.48738106398151165,0.6308999259737162,0.04128456807420025,0.13974034542554972,0.9466337099811676,0.0001999600079984003,0.34255189255189256,180,118,0.6555555555555556,0.6666666666666666,0.7735042735042735,0.430952380952381,0.6375838926174496,0.6040268456375839,AgentOpenAI_300,0.6375838926174496,overlap | AgentOpenAI_300
rouge1_f,0.52,0.03355704697986577,0.006711409395973154,0.026845637583892617,0.0039058877613307036,0.2351611511087866,0.0017811677663334968,0.02494741429659872,0.9776010048147373,0.9388122375524895,0.31509120932811086,17,281,0.060498220640569395,0.23333332898333342,0.5373134287725553,0.22222221944444445,0.040268456375838924,0.05704697986577181,weaviateCoT1_300,0.040268456375838924,rouge1_f | weaviateCoT1_300
rouge1_f,0.47,0.07718120805369127,0.013422818791946308,0.06375838926174497,0.026974309324040324,0.20148671044474784,0.004901111314843165,0.03622212692019778,0.9099321705426356,0.6702659468106379,0.2948302463188517,40,258,0.15503875968992248,0.2328251414198677,0.5135802419829143,0.21874999566406259,0.09060402684563758,0.1342281879194631,weaviateNaive1AI,0.09060402684563758,rouge1_f | weaviateNaive1AI
rouge1_f,0.47,0.087248322147651,0.03355704697986577,0.053691275167785234,0.032760015388706376,0.21245787193260648,0.017517604796681123,0.06333576425047627,0.9367941539337572,0.7298540291941612,0.25557461373777923,41,257,0.15953307392996108,0.29300812602847937,0.5283018818369528,0.2727272680991736,0.12080536912751678,0.13758389261744966,weaviateNaive1_300,0.12080536912751678,rouge1_f | weaviateNaive1_300
rouge1_f,0.41,0.003355704697986577,0.0,0.003355704697986577,7.829626191423189e-05,0.12647060401593763,8.673617379884035e-19,0.014028547890459302,0.6333994708994709,0.9924015196960608,0.039428895639261496,28,270,0.1037037037037037,0.19047618637629135,0.22861808070682915,0.18918918506756766,0.003355704697986577,0.09395973154362416,weaviateCoT_3_300,0.003355704697986577,rouge1_f | weaviateCoT_3_300
rouge1_f,0.4,0.5234899328859061,0.026845637583892617,0.4966442953020134,0.4507995431542442,0.5951986196061223,0.009417976824294613,0.07410990256828276,0.9667608286252354,0.0001999600079984003,0.2619972446990425,180,118,0.6555555555555556,0.4318181771758781,0.5515030896812703,0.28950584498222776,0.5503355704697986,0.6040268456375839,AgentOpenAI_300,0.5503355704697986,rouge1_f | AgentOpenAI_300
jaccard,0.4,0.06040268456375839,0.003355704697986577,0.05704697986577181,0.01881376105076843,0.1773126067467274,0.0005332283604287183,0.02080704947395468,0.9378380943342507,0.6806638672265547,0.20930232558139533,41,257,0.15953307392996108,0.17620967741935484,0.37209302325581395,0.16279069767441862,0.06375838926174497,0.13758389261744966,weaviateNaive1_300,0.06375838926174497,jaccard | weaviateNaive1_300
rouge1_f,0.39,0.026845637583892617,0.013422818791946308,0.013422818791946308,0.006951158534818348,0.0980565690749704,0.004649736319828526,0.038115013545098275,0.5073334625573431,0.9346130773845231,9.994050309547475e-10,67,231,0.29004329004329005,0.2195121903732898,0.21951219119571688,0.21951219019631185,0.040268456375838924,0.22483221476510068,weaviateNaive3_300,0.040268456375838924,rouge1_f | weaviateNaive3_300
bleu,0.37,0.3926174496644295,0.013422818791946308,0.37919463087248323,0.32423455840528637,0.465488126118753,0.0032125125065319317,0.05431615779079943,0.7904425612052731,0.0001999600079984003,0.20984413193324652,180,118,0.6555555555555556,0.32296734500878316,0.45261438127125597,0.24277024933800945,0.40604026845637586,0.6040268456375839,AgentOpenAI_300,0.40604026845637586,bleu | AgentOpenAI_300
jaccard,0.32,0.0738255033557047,0.010067114093959731,0.06375838926174497,0.02522770837525687,0.19710998615360104,0.003188156524547403,0.031322138525907615,0.9175872093023256,0.6616676664667066,0.21090103966114748,40,258,0.15503875968992248,0.1457513768686074,0.343265306122449,0.1323642664613015,0.08389261744966443,0.1342281879194631,weaviateNaive1AI,0.08389261744966443,jaccard | weaviateNaive1AI
jaccard,0.29,0.04697986577181208,0.020134228187919462,0.02684563758389262,0.0070912811841961215,0.2538731090853423,0.009057185344772092,0.04415497271644768,0.9850324471425581,0.9368126374725055,0.23863636363636365,17,281,0.060498220640569395,0.1409353557240881,0.375,0.13636363636363635,0.06711409395973154,0.05704697986577181,weaviateCoT1_300,0.06711409395973154,jaccard | weaviateCoT1_300
jaccard,0.27,0.02348993288590604,0.010067114093959731,0.01342281879194631,0.005608206680597208,0.09305205800443826,0.0030066170365227463,0.03315651041367942,0.5189636234412354,0.9312137572485503,0.000690448791714593,67,231,0.29004329004329005,0.12658227848101267,0.12727272727272726,0.12658227848101267,0.03355704697986577,0.22483221476510068,weaviateNaive3_300,0.03355704697986577,jaccard | weaviateNaive3_300
jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.0001999600079984003,0.21937701307996907,180,118,0.6555555555555556,0.2857142857142857,0.39472517730496454,0.17534816422499547,0.5570469798657718,0.6040268456375839,AgentOpenAI_300,0.5570469798657718,jaccard | AgentOpenAI_300
jaccard,0.26,0.010067114093959731,0.0,0.010067114093959731,0.0006471769681595241,0.13770511654918083,8.673617379884035e-19,0.014028547890459302,0.6345899470899471,0.9764047190561888,0.026481857110660367,28,270,0.1037037037037037,0.11263138818412469,0.13759296822177147,0.1111111111111111,0.010067114093959731,0.09395973154362416,weaviateCoT_3_300,0.010067114093959731,jaccard | weaviateCoT_3_300
bleu,0.21,0.026845637583892617,0.003355704697986577,0.02348993288590604,0.0026067318850267474,0.22551163128537996,0.0005685450240719373,0.019539143039288387,0.9447351894494452,0.8298340331933614,0.14399589125971066,17,281,0.060498220640569395,0.015188190723583435,0.15772320728457406,0.0137273160248634,0.030201342281879196,0.05704697986577181,weaviateCoT1_300,0.030201342281879196,bleu | weaviateCoT1_300
bleu,0.18,0.07718120805369127,0.02348993288590604,0.053691275167785234,0.02730012401502903,0.19950844348485242,0.010833550188210937,0.050182121788021776,0.9130682357407232,0.6366726654669066,0.1835861017495281,41,257,0.15953307392996108,0.029313138704858098,0.20451020613638618,0.020924104386858062,0.10067114093959731,0.13758389261744966,weaviateNaive1_300,0.10067114093959731,bleu | weaviateNaive1_300
bleu,0.16,0.08053691275167785,0.020134228187919462,0.060402684563758385,0.02875060484480485,0.20583374016391356,0.008762139455167905,0.045586985149044884,0.8917635658914729,0.5552889422115577,0.18297591285793427,40,258,0.15503875968992248,0.017925618290037974,0.19695771626418496,0.01398180340625069,0.10067114093959731,0.1342281879194631,weaviateNaive1AI,0.10067114093959731,bleu | weaviateNaive1AI
bleu,0.1,0.010067114093959731,0.010067114093959731,0.0,0.0006471769681595241,0.13770511654918083,0.0032637573398481036,0.030616564754159,0.708994708994709,1.0,0.014647579900706904,28,270,0.1037037037037037,0.011410253776793281,0.025348910828523898,0.010701330927816994,0.020134228187919462,0.09395973154362416,weaviateCoT_3_300,0.020134228187919462,bleu | weaviateCoT_3_300
bleu,0.09,0.05704697986577181,0.04697986577181208,0.010067114093959731,0.02195695343543415,0.14017794049713406,0.026331233054499997,0.08244974095767324,0.6099373263552368,0.8914217156568687,0.007884174954863595,67,231,0.29004329004329005,0.016723316759278763,0.023247024951378734,0.015362849996515139,0.1040268456375839,0.22483221476510068,weaviateNaive3_300,0.1040268456375839,bleu | weaviateNaive3_300
